sentences,aos
the place is so cool and the service is prompt and curtious.,"[([1], [], 1), ([7], [], 1)]"
at the end you're left with a mild broth with noodles that you can slurp out of a cup.,"[([8, 9, 10], [], 1)]"
i just wonder how you can have such a delicious meal for such little money .,"[([10], [], 1), ([14], [], 1)]"
the food was delicious but do not come here on a empty stomach.,"[([1], [], 0)]"
the wine list is excellent.,"[([1, 2], [], 1)]"
"ive been to many thai restaurants in manhattan before, and toons is by far the best thai food ive had (except for my mom's of course).","[([16, 17], [], 1)]"
they wouldnt even let me finish my glass of wine before offering another.,"[([7, 8, 9], [], 0)]"
"whem asked, we had to ask more detailed questions so that we knew what the specials were.","[([15], [], 0)]"
this is a consistently great place to dine for lunch or dinner .,"[([7], [], 1), ([9], [], 0), ([11], [], 0)]"
"nice atmosphere , the service was very pleasant and the desert was good.","[([1], [], 1), ([4], [], 1), ([10], [], 1)]"
after really enjoying ourselves at the bar we sat down at a table and had dinner .,"[([6], [], 1), ([12], [], 0), ([15], [], 0)]"
"fabulous service , fantastic food , and a chilled out atmosphere and environment .","[([1], [], 1), ([4], [], 1), ([10], [], 1), ([12], [], 1)]"
try the lasagnette appetizer .,"[([2, 3], [], 1)]"
i liked the beer selection !,"[([3, 4], [], 1)]"
"great food , good size menu , great service and an unpretensious setting .","[([1], [], 1), ([5], [], 1), ([8], [], 1), ([12], [], 1)]"
go here for a romantic dinner but not for an all out wow dining experience.,"[([5], [], 1), ([13], [], 1)]"
i grew up eating dosa and have yet to find a place in ny to satisfy my taste buds.,"[([4], [], 0)]"
wine list selection is good and wine-by-the-glass was generously filled to the top.,"[([0, 1, 2], [], 1), ([6], [], 1)]"
"with the great variety on the menu , i eat here often and never get bored .","[([6], [], 1)]"
the menu is very limited - i think we counted 4 or 5 entrees .,"[([1], [], -1), ([13], [], -1)]"
the menu is limited but almost all of the dishes are excellent.,"[([1], [], -1), ([9], [], 1)]"
not too crazy about their sake martini .,"[([5, 6], [], -1)]"
"great bagels , spreads and a good place to hang out in.","[([1], [], 1), ([3], [], 1)]"
"the service varys from day to day- sometimes they're very nice, and sometimes not.","[([1], [], 0)]"
one thing i liked about this place is that i never felt rushed or pressured to give up my table ot incoming guests.,"[([19], [], 0)]"
"unfortunately, the food is outstanding, but everything else about this restaurant is the pits.","[([2], [], 1)]"
we always have a delicious meal and always leave feeling satisfied.,"[([5], [], 1)]"
"dip the ingredients in with your chopsticks , swirl them around, and eat.","[([2], [], 0), ([6], [], 0)]"
first went here to enjoy their garden terrace .,"[([6, 7], [], 1)]"
the pizza was pretty good and huge.,"[([1], [], 1)]"
"the cuisine from what i've gathered is authentic taiwanese, though its very different from what i've been accustomed to in taipei.","[([1], [], 0)]"
i almost hesititate to write a review because the atmosphere was so great and i would hate for it too become to crowded.,"[([9], [], 1)]"
they are often crowded on the weekends but they are efficient and accurate with their service .,"[([3], [], -1), ([15], [], 1)]"
all my co-workers were amazed at how small the dish was.,"[([9], [], -1)]"
"the atmosphere is unheralded, the service impecible, and the food magnificant.","[([1], [], 1), ([5], [], 1), ([9], [], 1)]"
"we ordered the special, grilled branzino , that was so infused with bone, it was difficult to eat.","[([4, 5], [], -1)]"
"the wait staff is friendly, and the food has gotten better and better!","[([1, 2], [], 1), ([7], [], 1)]"
"it may be a bit packed on weekends, but the vibe is good and it is the best french food you will find in the area.","[([5], [], -1), ([10], [], 1), ([18, 19], [], 1)]"
right off the l in brooklyn this is a nice cozy place with good pizza .,"[([11], [], 1), ([14], [], 1)]"
le pere pinard has a $15 pre-theater menu that is outstanding.,"[([6, 7], [], 1)]"
i also ordered for delivery and the restaurant forgot half the order .,"[([4], [], -1), ([11], [], -1)]"
our server checked on us maybe twice during the entire meal .,"[([1], [], -1), ([10], [], 0)]"
the strong scents coming from the left and right of me negatively affected my taste buds.,"[([2], [], -1)]"
we had the lobster sandwich and it was fantastic.,"[([3, 4], [], 1)]"
"had we been stalling i could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!","[([28], [], -1)]"
"though the spider roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.","[([2, 3], [], 0), ([13, 14], [], 1), ([25], [], 1)]"
deep fried skewers are good and still rare to find in nyc.,"[([0, 1, 2], [], 1)]"
"i have tried to make reservations , but both times, the hostess didn't have my name.","[([5], [], 0), ([11], [], -1)]"
i also recommend the rice dishes or the different varieties of congee (rice porridge) .,"[([4, 5], [], 1), ([11, 12, 13], [], 1)]"
their tuna tartar appetizer is to die for.,"[([1, 2, 3], [], 1)]"
"an oasis of refinement: food , though somewhat uneven, often reaches the pinnacles of new american fine cuisine - chef 's passion (and kitchen 's precise execution) is most evident in the fish dishes and soups .","[([4], [], 0), ([17], [], 1), ([19], [], 1), ([23], [], 1), ([32, 33], [], 1), ([35], [], 1)]"
"if you love wine and cheese and delicious french fare , you'll love artisanal!","[([3], [], 1), ([5], [], 1), ([8, 9], [], 1)]"
i love indian food and consider myself to be quite an expert on it.,"[([2, 3], [], 1)]"
some baby pizzas get their wish.,"[([1, 2], [], 0)]"
overall a oh ya even though there is waiting it is deff worth it,"[([8], [], -1)]"
the lava cake dessert was incredible and i recommend it.,"[([1, 2, 3], [], 1)]"
vt is what baby pizzas hope to be when they grow up.,"[([3, 4], [], 0)]"
"from the terrible service , to the bland food , not to mention the unaccommodating managers , the overall experience was horrible.","[([3], [], -1), ([8], [], -1), ([15], [], -1)]"
lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for four dollars.,"[([15], [], 1), ([28], [], 1)]"
the last time i went we were seated at a table in a corridor next to the kitchen.,"[([10], [], -1)]"
good selection of wines ranging from affordable to high end.,"[([1, 2, 3], [], 1)]"
"nice restaurant overall, with classic upscale italian decor .","[([6, 7], [], 1)]"
not impressed with the food .,"[([4], [], -1)]"
the entire dining experience was wonderful!,"[([2, 3], [], 1)]"
the wine selection (by the glass and bottle) is wonderful and i always recommend that friends make a reservation if they're going to be in town.,"[([1, 2], [], 1), ([18], [], 0)]"
service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,"[([0], [], 1), ([12], [], -1), ([15], [], 1)]"
"order the panang duck , it's fantastic.","[([2, 3], [], 1)]"
"food is usually very good, though ocasionally i wondered about freshmess of raw vegatables in side orders.","[([0], [], 0), ([12, 13], [], -1)]"
"other than the crappy service from two individuals, it's great.","[([4], [], -1)]"
they have authentic indian at amazin prices .,"[([3], [], 1), ([6], [], 1)]"
ambiance - relaxed and stylish.,"[([0], [], 1)]"
"luckily we saved room for the bbq salmon , sea bass and crispy duck .","[([6, 7], [], 1), ([9, 10], [], 1), ([12, 13], [], 1)]"
"yes, they use fancy ingredients , but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.","[([4], [], 1), ([9], [], 1), ([14], [], -1), ([22], [], 0)]"
and yes dal bukhara is so dam good and so are all the kababs .,"[([2, 3], [], 1), ([13], [], 1)]"
i look forward to eating here again,"[([4], [], 1)]"
i've been coming here as a child and always come back for the taste .,"[([13], [], 1)]"
tuk tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price .,"[([18], [], 1), ([22], [], 1)]"
"a glass of leaping lizard , a glass of prosecco , and the mussels had everything happy.","[([1, 2, 3, 4], [], 1), ([7, 8, 9], [], 1), ([13], [], 1)]"
"food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.","[([0], [], 0), ([4, 5], [], -1), ([10], [], -1)]"
the food always tastes fresh and served promptly.,"[([1], [], 1), ([6], [], 1)]"
the pizza here is delicious.,"[([1], [], 1)]"
"pizza and garlic knots are great as well, i order from them quite often and the delivery is always super quick!","[([0], [], 1), ([2, 3], [], 1), ([16], [], 1)]"
"for great chinese food nearby, you have wu liang ye and grand sichuan just a block away.","[([2, 3], [], 1)]"
but who says murray's is anything about service .,"[([7], [], 0)]"
"this place is really trendi but they have forgotten about the most important part of a restaurant, the food .","[([18], [], -1)]"
hats off to the chef .,"[([4], [], 1)]"
"service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot , for one) in the restaurant experience.","[([0], [], -1), ([21], [], 1)]"
"the pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.","[([1], [], 1), ([7, 8], [], 1), ([15], [], -1)]"
its an excellent place to relax and the food is one of the best in the city of new york.,"[([3], [], 1), ([8], [], 1)]"
"service is friendly, and never had a problem walking in and getting a table .","[([0], [], 1), ([11, 12, 13], [], 1)]"
the atmosphere was crowded but it was a great bistro-type vibe .,"[([1], [], 0), ([9, 10], [], 1)]"
"first off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables ) and got our order wrong.","[([3], [], -1), ([18], [], 0)]"
the food was bland oily.,"[([1], [], -1)]"
"what is even better, is that the prices are very affordable as well, and the food is really good.","[([7], [], 1), ([15], [], 1)]"
the fish is fresh but the variety of fish is nothing out of ordinary.,"[([1], [], 1), ([6, 7, 8], [], -1)]"
"our favorite meal is a pesto pizza , the house salad , and a good bottle of wine .","[([2], [], 1), ([5, 6], [], 1), ([9, 10], [], 1), ([15, 16, 17], [], 1)]"
"and kruno, the beverage manager is the best bartender i have yet to come across.","[([3, 4], [], 1), ([8], [], 1)]"
"ambiance and music funky, which i enjoy.","[([0], [], 1), ([2], [], 1)]"
"the food , drinks and service are clearly among the best in the city.","[([1], [], 1), ([3], [], 1), ([5], [], 1)]"
i went there in late afternoon for some bite size food and refleshment with my date.,"[([10], [], 0), ([12], [], 0)]"
"i understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods , the tastes , the experiance.","[([15], [], 1), ([20], [], 1), ([23], [], 1), ([29], [], 1), ([31, 32], [], 1), ([39], [], 1), ([42], [], 1)]"
"last time i went here, the waitress didn't come back after taking our order.","[([6], [], -1)]"
try the tandoori salmon !,"[([2, 3], [], 1)]"
"eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.","[([3], [], 1)]"
"granted the space is smaller than most, it is the best service you will find in even the largest of restaurants.","[([2], [], -1), ([11], [], 1)]"
i love the atmorphere @ peep!,"[([3], [], 1)]"
the service was attentive and her suggestions of menu items was right on the mark.,"[([1], [], 1), ([8, 9], [], 1)]"
the other night we had the $30 three course meal and everything was delicious - if i could of licked the plate clean i would of.,"[([7, 8, 9], [], 1)]"
"even after getting pushed out by the no-class famous ray's, sal has risen again to carry on his father's uncle's legacies with a smile, true love for his community, and let's not forget the outstanding pizza !","[([35], [], 1)]"
"the environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.","[([1], [], 1), ([6], [], -1), ([10], [], -1)]"
"we had crawfish boiled and despite making a mess, it was a ton of fun and quite tasty as well.","[([2, 3], [], 1)]"
i had very high expectations for this place and made a reservation a couple of months in advance for a special occasion.,"[([11], [], 0)]"
what came to our table was burned beyond recognition and stringy.,"[([4], [], 0)]"
i had the pad thai and the noodles were sticky.,"[([3, 4], [], -1), ([7], [], -1)]"
"so i've never actually been to m proper, but i've had it delivered a few times.","[([12], [], 0)]"
"among all of the new 5th avenue restaurants, this offers by far one of the best values for your money .","[([16, 17, 18, 19], [], 1)]"
"frankly, when you compare what you can have here for lunch , versus mcds or so many other sandwich shops in the city, there is no comparison.","[([10], [], 1)]"
the hostess is rude to the point of being offensive.,"[([1], [], -1)]"
"if you're craving for haru's great food , especially the house roll, but can't stand the wait building outisde, head across the street to their sake bar!","[([6], [], 1), ([16, 17], [], -1)]"
"a narrow corridor leads to a tiny space where there are three tiny white tiled counters , a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees .","[([2], [], -1), ([7], [], -1), ([15], [], -1), ([29], [], -1), ([32], [], 0)]"
the food is great.,"[([1], [], 1)]"
succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.,"[([1], [], 1), ([10], [], 1), ([12], [], 1)]"
"lunch came with pickels and slaw , no extra charge.","[([0], [], 1), ([3, 4, 5], [], 0)]"
decent wine at reasonable prices .,"[([1], [], 1), ([4], [], 1)]"
all conveniently delivered right to the door.,"[([2], [], 1)]"
even the wine by the glass was good.,"[([2, 3, 4, 5], [], 1)]"
would have rather tried terrace in the sky or water club for that price,"[([13], [], -1)]"
this dish is my favorite and i always get it when i go there and never get tired of it.,"[([1], [], 1)]"
"i also ordered the change mojito , which was out of this world.","[([4, 5], [], 1)]"
okay service .,"[([1], [], 0)]"
the only thing more wonderful than the food (which is exceptional) is the service .,"[([7], [], 1), ([13], [], 1)]"
"the food was just awful, atrocious actually.","[([1], [], -1)]"
the soup for the udon was soy sauce and water .,"[([1, 2, 3, 4], [], -1), ([6, 7], [], 0), ([9], [], 0)]"
"the anti-pasta was excellent, especially the calamari , as were the filling pasta mains .","[([1], [], 1), ([6], [], 1), ([11, 12, 13], [], 1)]"
the waitress suggested glasses of wine that went very well with the food .,"[([1], [], 1), ([3, 4, 5], [], 1), ([12], [], 0)]"
"they might be all business at the counter when you give your order, but their food says i love you.","[([7], [], -1), ([15], [], 1)]"
"we are very particular about sushi and were both please with every choice which included: ceviche mix (special) , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura .","[([5], [], 1), ([15, 16, 17], [], 1), ([19, 20], [], 1), ([22, 23], [], 1), ([25], [], 1), ([27], [], 1), ([32], [], 1), ([36, 37], [], 1)]"
try their plain pizza with fresh garlic or eggplant .,"[([2, 3], [], 1), ([6], [], 1), ([8], [], 1)]"
"ok, so the servers wander around a little clueless, but there's more than enough servers for the crowd they get -- it's fine, you just have to make a small effort to get their attention.","[([3], [], -1), ([14], [], 0)]"
good luck getting a table .,"[([2, 3, 4], [], -1)]"
the service is awful.,"[([1], [], -1)]"
"the takeout menu says to keep an eye out for an expanded menu offering more italian dishes , i can't wait!","[([1, 2], [], 1), ([12], [], 1), ([15, 16], [], 1)]"
"i am not the most experienced person when it comes to thai food , but my friend who took me there is.","[([11, 12], [], 0)]"
regardless of whether there are two people or two hundred people ahead of you the hostess will take your name and tell you five minutes.,"[([15], [], 1)]"
the pizza is good though.,"[([1], [], 1)]"
bottles of wine are cheap and good.,"[([0, 1, 2], [], 1)]"
"the have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if i must recommend a dish it must be the pumkin tortelini .","[([5], [], 1), ([19], [], 1), ([27], [], 1), ([32, 33], [], 1)]"
they didn't give us the dinner special until we asked for it.,"[([5, 6], [], -1)]"
you must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert .,"[([4, 5], [], 1), ([14, 15, 16], [], 1), ([18], [], 1)]"
"word of advice, save room for pasta dishes and never leave until you've had the tiramisu .","[([6, 7], [], 1), ([15], [], 1)]"
very good service and very good prices .,"[([2], [], 1), ([6], [], 1)]"
i recently went to this restaurant with some co-workers for lunch and had an amazing time.,"[([10], [], 0)]"
"the service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu , present your meal , and attend to your needs.","[([1], [], 1), ([8], [], 1), ([20], [], 0), ([24], [], 0)]"
ess-a-bagel (either by sty-town or midtown) is by far the best bagel in ny.,"[([11], [], 1)]"
our food was great too!,"[([1], [], 1)]"
"the most annoying thing, though, is the fact that the servers seem to be trained to drive revenue.","[([10], [], -1)]"
"get your food to go, find a bench, and kick back with a plate of dumplings .","[([2], [], 0), ([13, 14, 15], [], 1)]"
"please try the filet mignon , its just the most tender piece ever.","[([3, 4], [], 1)]"
"we were still sitting at the bar while we drank the sangria , but facing away from the bar when we turned back around, the $2 was gone the people next to us said the bartender took it.","[([6], [], 0), ([11], [], 0), ([18], [], 0), ([35], [], -1)]"
the sake menu should not be overlooked!,"[([1, 2], [], 1)]"
the drinks are amazing and half off till 8pm.,"[([1], [], 1)]"
i've been back to nha trang literally a hundred times for the beef cubes - they're that good.,"[([12, 13], [], 1)]"
"the service , wine selection , ambiance are all outstanding and deserve recognition.","[([1], [], 1), ([3, 4], [], 1), ([6], [], 1)]"
"we were seated promptly as we had reservations , however after that the service was slow.","[([7], [], 1), ([13], [], -1)]"
"it's really also the service , is good and the waiters are friendly.","[([4], [], 1), ([10], [], 1)]"
"the food was pretty good, but a little flavorless and the portions very small, including dessert .","[([1], [], 0), ([11], [], -1), ([15], [], -1)]"
"it is set far from the small street it's on, and there is no traffic noise .","[([14, 15], [], 1)]"
lived in shanghai most of my life and thought the food was comparable to the flagship green bo restaurant there.,"[([10], [], 1)]"
"i highly recommend cafe st. bart's for their food , the ambience and wonderful service .","[([8], [], 1), ([11], [], 1), ([14], [], 1)]"
this is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates.,"[([17, 18], [], 0)]"
all the nyu students love this place so it makes for a fun young atmosphere .,"[([14], [], 1)]"
the food here does a great service to the name ( cantonese that is...).,"[([1], [], 1), ([11], [], 1)]"
"but, nothing stands out about the cooking .","[([6], [], 0)]"
joya used to be a cool spot with decent food and a colorful - if not relaxed - atmosphere .,"[([9], [], 1), ([18], [], 1)]"
the prix fixe menu is worth every penny and you get more than enough (both in quantity and quality ).,"[([1, 2, 3], [], 1), ([16], [], 1), ([18], [], 1)]"
i've been here 3 times for lunch and it is one of my favorites in the city.,"[([6], [], 0)]"
"i had their eggs benedict for brunch , which were the worst in my entire life, i tried removing the hollondaise sauce completely that was how failed it was.","[([3, 4], [], -1), ([6], [], 0), ([20, 21], [], -1)]"
"i work near-by, and they have the best oatmeal in the neighborhood- not a packaged or quick-cooked item.","[([8], [], 1)]"
too bad the food wasn't of the same heritage.,"[([3], [], -1)]"
"the menu looked good, except for offering the chilean sea bass , but the server does not offer up the specials that were written on the board outside.","[([1], [], 1), ([8, 9, 10], [], -1), ([14], [], -1), ([20], [], 0)]"
"the food was really good, i had the onion soup and it was one of the best ever.","[([1], [], 1), ([8, 9], [], 1)]"
"overall, a solid restaurant and at less than $40pp (including wine ), a solid deal as well.","[([10], [], 0)]"
"since it literally is a complete hole in the wall, it's a bit intimidating at first, but you get over that very quickly as soon as the friendly staff welcomes you - don't hesitate to ask for help with what to get.","[([28], [], 1)]"
"based on the reviews for dinner , this is a place i would reconsider revisiting for that, but definitely not for dim sum again.","[([5], [], 1), ([21, 22], [], -1)]"
"it costs $2 extra to turn a regular roll into an inside-out roll , but the roll more than triples in size, and that's not just from the rice .","[([8], [], -1), ([12], [], -1), ([16], [], -1), ([28], [], 0)]"
"when he finally did, he was unable to make a gin and tonic -- couldn't find tonic .","[([10, 11, 12], [], 0), ([16], [], 0)]"
"the dim sum is ok but doesn't taste that fresh, and the little dishes don't look steamy hot as they should (also note lack of chinese here).","[([1, 2], [], -1), ([12, 13], [], -1)]"
"the service is ok, some of the people didn't get what they asked for.","[([1], [], 0)]"
if you want good authentic thai this place is not the place to go.,"[([5], [], -1)]"
i recommend getting a reservation even though we saw people seated without one.,"[([4], [], 0)]"
the only thing i moderately enjoyed was their grilled chicken special with edamame puree .,"[([8, 9, 10, 11, 12, 13], [], 0)]"
"if you want some roast duck , pork or chicken on rice with ginger , try them out!","[([4, 5], [], 1), ([7], [], 1), ([9, 10, 11, 12, 13], [], 1)]"
"you order from a menu , so you leave feeling like you missed the full experience.","[([4], [], -1)]"
staff is very accomodating.,"[([0], [], 1)]"
i went to del frisco's friday night with my boyfriend for an 8:00 reservation .,"[([13], [], 0)]"
yourself a favor and have dinner here and see if you dont agree with me.,"[([5], [], 0)]"
very popular style izakaya ( sake and small portion of sake-friendly dishes ).,"[([5], [], 1), ([8], [], 0), ([11], [], 1)]"
"the food was terrific and the service classy, attentive, without being overbearing.","[([1], [], 1), ([6], [], 1)]"
this is an amazing place to try some roti rolls .,"[([8, 9], [], 1)]"
fresh ingredients and everything is made to order.,"[([1], [], 1)]"
"we have never had any problems with charging the meal or the tip , and the food was delivered quickly, but we live only a few minutes walk from them.","[([9], [], 1), ([12], [], 1), ([16], [], 1)]"
quick and friendly service .,"[([3], [], 1)]"
"they are tasty, but i suggest only eating one with meat because they tend not to mesh that well with the average american digestive system.","[([10], [], 0)]"
"try the hot dogs too, they're snappy and delicious.","[([2, 3], [], 1)]"
delivery is fast too.,"[([0], [], 1)]"
"the noise level was unbearable, conversation impossible.","[([1, 2], [], -1)]"
personal pans are the perfect size for those hungry nights.,"[([0, 1], [], 1)]"
highly recommended is the spicy fried clam rolls and spider rolls .,"[([4, 5, 6, 7], [], 1), ([9, 10], [], 1)]"
one of the earlier people commenting on the restaurant did not get the that some experimenting is going on with the menu in a positive way.,"[([21], [], 1)]"
the atmosphere is great if your looking for a laid back scene and an inexpensive way to spend a weekend afternoon.,"[([1], [], 1)]"
"odd for ave b, not just odd, the place attracts an eclectic crowd to say the least.","[([8], [], 1)]"
instead of wasting your time here: support restaurants that care about food .,"[([11], [], 0)]"
just got back from lunch at tamarind and it was excellent.,"[([4], [], 1)]"
"head and shoulders above its neighboors on east 6 st, taj mahal is also very comparable, in food quality , to the much overpraised (and underdeserving) baluchi's.","[([17, 18], [], 1)]"
"the man that was hosting promised to save a table for our party of 7, then sat a party of 2 at the very table he was saving (mean while there were boths open all around).","[([1], [], -1), ([9], [], 0), ([24], [], -1)]"
try the cheesecake !,"[([2], [], 1)]"
as we were sitting eating the subpar food the manager proceeded to berate a couple of his employees for putting out the wrong containers for condiments and explained to them how expensive these containers were.,"[([7], [], -1), ([9], [], -1), ([17], [], -1), ([23, 24, 25], [], -1), ([33], [], 0)]"
great indian food and the service is incredible.,"[([1, 2], [], 1), ([5], [], 1)]"
"decor is nice and minimalist, food simple yet very well presented and cooked, and the wine list matches the food very well.","[([0], [], 1), ([5], [], 1), ([15, 16], [], 1), ([19], [], 0)]"
"i had the salmon dish and while it was fine, for the price paid, i expected it to have some type of flavor .","[([3, 4], [], 0), ([12], [], 0), ([22], [], -1)]"
we ordered a tuna melt - it came with out cheese which just made it a tuna sandwich .,"[([3, 4], [], -1), ([10], [], 0), ([16, 17], [], -1)]"
"especially liked chicken tikka and the naan , and the dals .","[([2, 3], [], 1), ([6], [], 1), ([10], [], 1)]"
the waiters were not attentive except that the bill turned up on the table before we were finished.,"[([1], [], -1), ([8], [], -1)]"
the restaurant looks out over beautiful green lawns to the hudson river and the statue of liberty.,"[([7], [], 1)]"
"my wife and i always enjoy the young, not always well trained but nevertheless friendly, staff , all of whom have a story.","[([15], [], 0)]"
the sangria was pretty tasty and good on a hot muggy day.,"[([1], [], 1)]"
don't eat here unless you're starving for thai food and you work next door.,"[([7, 8], [], -1)]"
"for the people who want great food plus great service , roxy is a place to avoid!","[([6], [], -1), ([9], [], -1)]"
i had the best ravioli ever.,"[([4], [], 1)]"
"while the menu isn't especially groundbreaking, everything i've tried so far has been well-executed and tasty.","[([2], [], 0)]"
ive been here a bunch of times now and the service is always outstanding.,"[([10], [], 1)]"
the bill is approximately $25 for 2 at lunch without drinks .,"[([1], [], 0), ([8], [], 0), ([10], [], 0)]"
"quite frankly, this is some of the worst sushi i have ever tried.","[([8], [], -1)]"
"the food is great, service is ok.","[([1], [], 1), ([4], [], 0)]"
"the overall price tag was very very expensive, something i did expect.","[([2, 3], [], -1)]"
"spice is great thai food , love the inexpensive appetizers .","[([3, 4], [], 1), ([9], [], 1)]"
the service was attentive.,"[([1], [], 1)]"
"he not only makes his own homemade mozzarella , but every pie is ultra fresh.","[([7], [], 1), ([11], [], 1)]"
fish was overdone.,"[([0], [], -1)]"
"when you're sitting in their main dining room (which has a spectacular, hand-painted high ceiling ) you'd never know there was a world outside.","[([5, 6, 7], [], 1), ([14], [], 1)]"
we visited bread bar during january restaurant week and were so pleased with the menu selections and service .,"[([14, 15], [], 1), ([17], [], 1)]"
also make sure you pay attention to the music being piped in - quite a weird selection.,"[([8], [], 0)]"
the establishment scores big points in presentation and style.,"[([1], [], 1)]"
"the rest of the dim sum , though pricey by chinatown standards, is worth it.","[([4, 5], [], 0)]"
good food .,"[([1], [], 1)]"
"the wait staff is very friendly, if not overly efficient.","[([1, 2], [], 1)]"
the dim sum however was very good.,"[([1, 2], [], 1)]"
service has always been friendly and efficient.,"[([0], [], 1)]"
went there and had a combination of different seafood dishes and appetizers .,"[([8, 9], [], 0), ([11], [], 0)]"
its a great place for a casual date or to entertain clients for lunch .,"[([13], [], 0)]"
all we received was an apology as we left to see our show without dinner .,"[([14], [], 0)]"
the table next to us asked if he crushed the grapes himself when their long overdue bottle of wine finally arrived.,"[([10], [], 0), ([16, 17, 18], [], 0)]"
prices are very good.,"[([0], [], 1)]"
"we could not catch our waiter 's eye, and he ignored us.","[([5], [], -1)]"
plain and simple it's bad thai food .,"[([5, 6], [], -1)]"
